lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"τu,exp(MPa)",Predicted Values
40,32,1.6,48.92,20,6.0,5.0,19.22,19.28059906680334
80,50,0.51,32.0,20,3.25,5.0,10.16,11.795105838432344
0,0,0.0,34.05,16,0.94,5.0,8.62,11.29398764917902
60,30,0.5,26.0,12,6.58,8.0,16.61,16.61351517626564
64,35,0.5,41.73,16,4.19,5.0,20.02,19.98445774337112
55,30,1.0,44.2,12,5.75,4.17,14.95,17.373232359415475
80,60,0.5,44.0,14,2.86,5.0,11.4,11.35132158186506
55,30,0.7,44.0,16,4.19,9.38,12.92,12.90679658812313
80,60,0.38,43.12,14,2.86,5.0,11.24,11.265413006035383
65,60,1.5,46.0,16,4.19,9.38,16.13,16.113248556892575
40,30,1.0,44.4,14,3.93,5.0,12.76,12.795945537477118
80,60,2.0,61.3,12,5.75,4.17,27.12,27.087484164922603
40,32,1.2,48.35,20,6.0,5.0,17.21,17.13814239941159
55,30,1.0,56.4,12,5.75,4.17,23.67,22.77248694026136
80,60,0.25,63.2,14,2.86,5.0,13.09,13.045386893769278
55,30,0.0,39.6,12,5.75,4.17,15.73,15.313487267354262
0,0,0.0,45.28,16,4.19,3.0,20.46,19.84965017613424
40,32,0.8,39.63,16,6.0,5.0,21.18,21.191130933228273
55,30,0.0,39.6,12,5.75,4.17,13.03,15.313487267354262
0,0,0.0,23.52,14,5.0,5.0,9.81,9.830733255350468
55,30,2.0,45.2,12,5.75,4.17,19.3,18.852243139531684
40,30,1.0,66.08,14,3.93,5.0,14.91,14.911071846873607
80,60,0.13,61.84,14,5.0,5.0,15.07,14.992626848015725
40,32,2.0,49.14,14,6.0,5.0,21.83,21.82745184038553
50,20,0.0,24.0,16,4.19,4.69,13.72,13.552995162318323
64,35,1.0,42.67,16,4.19,5.0,18.43,18.510502118298504
40,30,0.38,41.76,14,3.93,5.0,12.51,12.527521212511095
40,30,0.25,24.88,14,3.93,5.0,9.91,9.951568316987421
