lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"τu,exp(MPa)",Predicted Values
0,0,0.0,45.28,12,5.75,5.0,17.36,19.054631104373982
0,0,0.0,60.32,14,5.0,5.0,14.65,14.79820771282037
50,30,0.3,34.32,16,0.94,5.0,8.47,7.962277245837999
55,30,2.0,45.2,12,5.75,4.17,17.92,19.32391104810924
0,0,0.0,45.28,16,4.19,7.0,11.28,10.012400672578083
55,30,0.0,50.1,12,5.75,4.17,16.74,17.38954708280412
0,0,0.0,39.92,14,2.86,5.0,10.75,12.751538960686483
40,32,2.0,49.14,16,6.0,5.0,21.66,21.688119933820325
65,60,0.7,43.5,16,4.19,9.38,12.31,13.602645990275182
40,32,1.6,41.22,20,6.0,5.0,18.81,18.83925519577087
65,35,1.0,44.59,16,4.19,5.0,19.12,19.12193208724288
55,30,1.0,56.4,12,5.75,4.17,23.0,22.978330291958155
80,60,0.25,63.2,14,5.0,5.0,15.3,15.316966244350827
80,50,0.77,44.0,16,5.0,5.0,17.6,17.8359465215849
55,30,1.0,56.4,12,5.75,4.17,24.12,22.978330291958155
40,32,0.0,33.29,14,6.0,5.0,15.68,15.307907588096107
80,60,0.13,61.84,14,2.86,5.0,12.99,13.01752652982983
55,30,2.0,45.2,12,5.75,4.17,17.02,19.32391104810924
80,50,0.51,32.0,20,3.25,5.0,14.0,11.188804920550957
55,30,0.0,50.8,12,5.75,4.17,16.34,17.550169023991067
50,20,2.0,24.0,16,4.19,4.69,15.08,17.307260858474166
64,35,1.5,46.26,16,4.19,5.0,23.15,22.1569992533633
40,30,1.0,44.4,14,2.86,5.0,11.5,11.586284638338432
64,35,1.0,42.68,16,4.19,5.0,21.56,18.110934893706037
65,35,0.75,42.02,20,3.25,5.0,12.54,12.635085252209047
55,30,0.0,39.6,12,5.75,4.17,17.16,14.92713319329441
45,50,0.77,44.0,8,3.5,5.0,24.11,20.05781405254982
0,0,0.0,39.1,16,4.19,9.38,9.16,9.183914209845325
80,60,1.5,43.7,16,4.19,9.38,16.36,16.341330284744824
55,30,1.0,44.2,12,5.75,4.17,17.07,18.261487406393332
0,0,0.0,45.28,12,5.75,5.0,20.0,19.054631104373982
40,30,0.75,43.36,14,2.86,5.0,11.24,11.26475319605671
40,30,1.0,26.8,14,3.93,5.0,10.82,10.74182167353626
0,0,0.0,45.28,16,4.19,7.0,10.05,10.012400672578083
60,30,2.0,29.0,12,6.58,8.0,17.68,17.65151494735535
40,32,2.0,45.75,14,6.0,5.0,16.81,19.467055676186735
40,30,0.25,24.88,14,5.0,5.0,10.04,11.568923134420048
0,0,0.0,60.32,14,3.93,5.0,13.41,13.433905105003307
64,35,1.0,65.7,16,4.19,5.0,29.38,25.962985511034855
65,60,0.5,55.2,12,5.75,4.17,19.43,19.409472254261775
55,30,2.0,57.6,12,5.75,4.17,24.62,24.48272078085206
55,30,2.0,45.2,12,5.75,4.17,20.4,19.32391104810924
55,30,0.0,50.8,12,5.75,4.17,17.07,17.550169023991067
0,0,0.0,48.0,12,5.0,5.0,23.92,18.1700929069642
80,60,0.13,41.92,14,3.93,5.0,12.31,12.128863368778868
40,32,1.2,48.35,14,6.0,5.0,17.83,17.80047177553177
65,35,1.0,44.59,16,4.19,5.0,19.15,19.12193208724288
65,60,1.0,46.8,16,4.19,9.38,15.4,15.332581983091673
80,60,0.7,44.0,16,4.19,9.38,14.92,14.377614596407591
0,0,0.0,60.32,14,2.86,5.0,12.7,12.673751464562422
80,60,0.25,42.16,14,2.86,5.0,11.17,11.178703438894251
55,30,1.0,56.4,12,5.75,4.17,19.22,22.978330291958155
40,30,0.5,25.52,14,5.0,5.0,10.26,11.711513429110308
65,35,0.75,42.02,12,5.75,5.0,21.32,18.653838869294187
80,50,0.51,32.0,20,3.25,5.0,11.22,11.188804920550957
80,50,0.51,48.0,12,3.5,5.0,23.9,17.14323103900953
40,30,0.38,62.96,14,5.0,5.0,15.53,15.415087298385405
64,35,0.5,64.36,16,4.19,5.0,23.75,23.725900707855093
50,20,2.0,24.0,16,1.84,4.69,7.21,5.970726261843892
