lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"τu,exp(MPa)",Predicted Values
80,60,0.13,61.84,14,2.86,5.0,12.99,12.962765
55,30,2.0,45.2,12,5.75,4.17,17.02,18.867716
80,50,0.51,32.0,20,3.25,5.0,14.0,11.720655
55,30,0.0,50.8,12,5.75,4.17,16.34,17.892508
50,20,2.0,24.0,16,4.19,4.69,15.08,17.243666
64,35,1.5,46.26,16,4.19,5.0,23.15,23.238316
40,30,1.0,44.4,14,2.86,5.0,11.5,11.361757
64,35,1.0,42.68,16,4.19,5.0,21.56,21.459204
65,35,0.75,42.02,20,3.25,5.0,12.54,12.645707
55,30,0.0,39.6,12,5.75,4.17,17.16,15.231944
45,50,0.77,44.0,8,3.5,5.0,24.11,22.145695
0,0,0.0,39.1,16,4.19,9.38,9.16,9.243472
80,60,1.5,43.7,16,4.19,9.38,16.36,16.297096
55,30,1.0,44.2,12,5.75,4.17,17.07,17.310053
0,0,0.0,45.28,12,5.75,5.0,20.0,18.714388
40,30,0.75,43.36,14,2.86,5.0,11.24,11.301913
40,30,1.0,26.8,14,3.93,5.0,10.82,10.617361
0,0,0.0,45.28,16,4.19,7.0,10.05,9.778442
60,30,2.0,29.0,12,6.58,8.0,17.68,17.681755
40,32,2.0,45.75,14,6.0,5.0,16.81,17.143267
40,30,0.25,24.88,14,5.0,5.0,10.04,10.083341
0,0,0.0,60.32,14,3.93,5.0,13.41,13.429513
64,35,1.0,65.7,16,4.19,5.0,29.38,29.252169
65,60,0.5,55.2,12,5.75,4.17,19.43,19.39985
55,30,2.0,57.6,12,5.75,4.17,24.62,24.668867
55,30,2.0,45.2,12,5.75,4.17,20.4,18.867716
55,30,0.0,50.8,12,5.75,4.17,17.07,17.892508
0,0,0.0,48.0,12,5.0,5.0,23.92,24.008314
80,60,0.13,41.92,14,3.93,5.0,12.31,12.348477
40,32,1.2,48.35,14,6.0,5.0,17.83,17.599081
65,35,1.0,44.59,16,4.19,5.0,19.15,18.050236
65,60,1.0,46.8,16,4.19,9.38,15.4,15.501234
80,60,0.7,44.0,16,4.19,9.38,14.92,14.83154
0,0,0.0,60.32,14,2.86,5.0,12.7,12.68955
80,60,0.25,42.16,14,2.86,5.0,11.17,11.237244
55,30,1.0,56.4,12,5.75,4.17,19.22,22.82915
40,30,0.5,25.52,14,5.0,5.0,10.26,10.284985
65,35,0.75,42.02,12,5.75,5.0,21.32,18.954664
80,50,0.51,32.0,20,3.25,5.0,11.22,11.720655
80,50,0.51,48.0,12,3.5,5.0,23.9,23.759153
40,30,0.38,62.96,14,5.0,5.0,15.53,15.475866
64,35,0.5,64.36,16,4.19,5.0,23.75,23.734926
50,20,2.0,24.0,16,1.84,4.69,7.21,6.090386
