lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"τu,exp(MPa)",Predicted Values
0,0,0.0,45.28,16,4.19,7.0,11.28,12.952465951164791
55,30,0.0,50.1,12,5.75,4.17,16.74,18.13308089512569
0,0,0.0,39.92,14,2.86,5.0,10.75,11.710534969411745
40,32,2.0,49.14,16,6.0,5.0,21.66,20.96963157756409
65,60,0.7,43.5,16,4.19,9.38,12.31,12.235339226027701
40,32,1.6,41.22,20,6.0,5.0,18.81,18.387207510406434
65,35,1.0,44.59,16,4.19,5.0,19.12,16.08289501271809
55,30,1.0,56.4,12,5.75,4.17,23.0,21.349671975823487
80,60,0.25,63.2,14,5.0,5.0,15.3,17.36979900664973
80,50,0.77,44.0,16,5.0,5.0,17.6,16.56101918841577
55,30,1.0,56.4,12,5.75,4.17,24.12,21.349671975823487
40,32,0.0,33.29,14,6.0,5.0,15.68,14.5487369285509
80,60,0.13,61.84,14,2.86,5.0,12.99,14.007107167808794
55,30,2.0,45.2,12,5.75,4.17,17.02,21.759051957687134
80,50,0.51,32.0,20,3.25,5.0,14.0,10.564234492772897
55,30,0.0,50.8,12,5.75,4.17,16.34,18.221142078332235
50,20,2.0,24.0,16,4.19,4.69,15.08,13.298458639759632
64,35,1.5,46.26,16,4.19,5.0,23.15,17.519980243219106
40,30,1.0,44.4,14,2.86,5.0,11.5,12.963323885957774
64,35,1.0,42.68,16,4.19,5.0,21.56,15.678290766195978
65,35,0.75,42.02,20,3.25,5.0,12.54,12.96872201963952
55,30,0.0,39.6,12,5.75,4.17,17.16,16.72008143357568
45,50,0.77,44.0,8,3.5,5.0,24.11,14.021197989229398
0,0,0.0,39.1,16,4.19,9.38,9.16,11.446976322561182
80,60,1.5,43.7,16,4.19,9.38,16.36,14.578192283074557
55,30,1.0,44.2,12,5.75,4.17,17.07,19.39583082906697
0,0,0.0,45.28,12,5.75,5.0,20.0,16.63928663177983
40,30,0.75,43.36,14,2.86,5.0,11.24,12.410501013860229
40,30,1.0,26.8,14,3.93,5.0,10.82,10.965650775644995
0,0,0.0,45.28,16,4.19,7.0,10.05,12.952465951164791
60,30,2.0,29.0,12,6.58,8.0,17.68,17.934607274530013
40,32,2.0,45.75,14,6.0,5.0,16.81,20.285205886458023
40,30,0.25,24.88,14,5.0,5.0,10.04,11.770372110888596
0,0,0.0,60.32,14,3.93,5.0,13.41,16.180587375939794
64,35,1.0,65.7,16,4.19,5.0,29.38,19.382724919401632
65,60,0.5,55.2,12,5.75,4.17,19.43,18.424572802302478
55,30,2.0,57.6,12,5.75,4.17,24.62,24.052657161686543
55,30,2.0,45.2,12,5.75,4.17,20.4,21.759051957687134
55,30,0.0,50.8,12,5.75,4.17,17.07,18.221142078332235
0,0,0.0,48.0,12,5.0,5.0,23.92,16.01903487049518
80,60,0.13,41.92,14,3.93,5.0,12.31,13.025876811612335
40,32,1.2,48.35,14,6.0,5.0,17.83,19.146483220324132
65,35,1.0,44.59,16,4.19,5.0,19.15,16.08289501271809
65,60,1.0,46.8,16,4.19,9.38,15.4,13.171939410577167
80,60,0.7,44.0,16,4.19,9.38,14.92,13.119004645174227
0,0,0.0,60.32,14,2.86,5.0,12.7,14.800855048948621
80,60,0.25,42.16,14,2.86,5.0,11.17,11.743748448465938
55,30,1.0,56.4,12,5.75,4.17,19.22,21.349671975823487
40,30,0.5,25.52,14,5.0,5.0,10.26,12.084613947047364
65,35,0.75,42.02,12,5.75,5.0,21.32,18.2671402972413
80,50,0.51,32.0,20,3.25,5.0,11.22,10.564234492772897
80,50,0.51,48.0,12,3.5,5.0,23.9,15.217390245829902
40,30,0.38,62.96,14,5.0,5.0,15.53,18.209290100145683
64,35,0.5,64.36,16,4.19,5.0,23.75,17.753435617754636
50,20,2.0,24.0,16,1.84,4.69,7.21,8.936423941200534
