lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"τu,exp(MPa)",Predicted Values
80,60,0.13,41.92,14,3.93,5.0,12.31,12.465357142857178
40,32,1.2,48.35,14,6.0,5.0,17.83,17.360964285714168
65,35,1.0,44.59,16,4.19,5.0,19.15,19.076559523809863
65,60,1.0,46.8,16,4.19,9.38,15.4,15.437017857142852
80,60,0.7,44.0,16,4.19,9.38,14.92,14.625297619047673
0,0,0.0,60.32,14,2.86,5.0,12.7,12.698178571428642
80,60,0.25,42.16,14,2.86,5.0,11.17,11.4160476190476
55,30,1.0,56.4,12,5.75,4.17,19.22,22.98480357142857
40,30,0.5,25.52,14,5.0,5.0,10.26,10.22283928571439
65,35,0.75,42.02,12,5.75,5.0,21.32,20.383624999999768
80,50,0.51,32.0,20,3.25,5.0,11.22,11.218702380952367
80,50,0.51,48.0,12,3.5,5.0,23.9,23.87464880952385
40,30,0.38,62.96,14,5.0,5.0,15.53,15.100958333333367
64,35,0.5,64.36,16,4.19,5.0,23.75,23.118285714285715
50,20,2.0,24.0,16,1.84,4.69,7.21,5.973369047618955
